route,origin,dest,n_flights,avg_arr_delay,avg_dep_delay,pct_arr_del15
LIT-LAS,LIT,LAS,60,8.966666666666667,10.25,0.31666666666666665
LIT-LGA,LIT,LGA,96,8.885416666666666,1.25,0.21875
LIT-MIA,LIT,MIA,8,37.875,35.0,0.5
LIT-ORD,LIT,ORD,165,21.084848484848486,28.163636363636364,0.2787878787878788
LIT-PHX,LIT,PHX,1,-7.0,-4.0,0.0
LIT-SFB,LIT,SFB,2,73.0,79.5,1.0
LIT-STL,LIT,STL,110,-1.6363636363636365,2.7363636363636363,0.05454545454545454
LNK-ORD,LNK,ORD,100,11.38,15.24,0.19
LRD-DFW,LRD,DFW,230,6.7,7.891304347826087,0.15217391304347827
LRD-LAS,LRD,LAS,18,35.5,31.11111111111111,0.3333333333333333
LSE-ORD,LSE,ORD,9,-0.1111111111111111,15.777777777777779,0.1111111111111111
LWS-DEN,LWS,DEN,58,37.60344827586207,44.96551724137931,0.27586206896551724
LWS-SEA,LWS,SEA,58,28.862068965517242,28.396551724137932,0.2413793103448276
LWS-SLC,LWS,SLC,60,10.116666666666667,14.1,0.15
MAF-AUS,MAF,AUS,36,0.8611111111111112,4.361111111111111,0.1111111111111111
MAF-DAL,MAF,DAL,235,-5.94468085106383,1.174468085106383,0.08936170212765958
MAF-DEN,MAF,DEN,204,6.181372549019608,7.78921568627451,0.19607843137254902
MAF-DFW,MAF,DFW,415,7.330120481927711,7.650602409638554,0.18313253012048192
MAF-HOU,MAF,HOU,208,-2.826923076923077,1.8557692307692308,0.10096153846153846
MAF-IAH,MAF,IAH,90,6.455555555555556,9.766666666666667,0.14444444444444443
MAF-LAS,MAF,LAS,59,3.23728813559322,13.135593220338983,0.1694915254237288
MAF-PHX,MAF,PHX,59,-5.610169491525424,2.610169491525424,0.06779661016949153
MBS-DTW,MBS,DTW,154,10.837662337662337,21.428571428571427,0.22727272727272727
MBS-ORD,MBS,ORD,148,26.54054054054054,27.43918918918919,0.31756756756756754
MCI-ABQ,MCI,ABQ,53,1.9433962264150944,3.7735849056603774,0.1509433962264151
MCI-ATL,MCI,ATL,477,3.40041928721174,7.069182389937107,0.14255765199161424
MCI-AUS,MCI,AUS,130,9.146153846153846,11.376923076923077,0.24615384615384617
MCI-BNA,MCI,BNA,162,2.191358024691358,6.808641975308642,0.14814814814814814
MCI-BOS,MCI,BOS,60,11.75,5.1,0.26666666666666666
MCI-BWI,MCI,BWI,88,14.431818181818182,13.045454545454545,0.2840909090909091
MCI-CLT,MCI,CLT,185,17.05945945945946,14.486486486486486,0.2756756756756757
MCI-DAL,MCI,DAL,283,1.6219081272084805,7.639575971731449,0.1872791519434629
MCI-DCA,MCI,DCA,294,20.210884353741495,21.989795918367346,0.2653061224489796
MCI-DEN,MCI,DEN,671,3.3472429210134127,7.9120715350223545,0.19374068554396423
MCI-DFW,MCI,DFW,384,23.942708333333332,20.567708333333332,0.296875
MCI-DTW,MCI,DTW,166,5.445783132530121,8.680722891566266,0.15060240963855423
MCI-FLL,MCI,FLL,73,15.273972602739725,13.36986301369863,0.273972602739726
MCI-HOU,MCI,HOU,169,0.2781065088757396,8.272189349112425,0.15384615384615385
MCI-IAH,MCI,IAH,73,-1.8493150684931507,0.8082191780821918,0.1643835616438356
MCI-IND,MCI,IND,57,8.298245614035087,16.70175438596491,0.17543859649122806
MCI-JFK,MCI,JFK,118,31.296610169491526,26.56779661016949,0.3389830508474576
MCI-LAS,MCI,LAS,309,1.4692556634304208,10.944983818770227,0.1941747572815534
MCI-LAX,MCI,LAX,160,1.58125,11.9,0.2125
MCI-LGA,MCI,LGA,329,3.683890577507599,9.428571428571429,0.19148936170212766
MCI-LGB,MCI,LGB,51,7.254901960784314,10.235294117647058,0.3333333333333333
MCI-MCO,MCI,MCO,303,9.396039603960396,9.696369636963697,0.22112211221122113
MCI-MDW,MCI,MDW,257,0.33073929961089493,5.914396887159533,0.1517509727626459
MCI-MIA,MCI,MIA,91,10.087912087912088,1.8681318681318682,0.3076923076923077
MCI-MKE,MCI,MKE,55,-5.672727272727273,5.9818181818181815,0.10909090909090909
MCI-MSP,MCI,MSP,281,1.4661921708185053,4.693950177935943,0.16725978647686832
MCI-MSY,MCI,MSY,60,17.583333333333332,19.283333333333335,0.3
MCI-OAK,MCI,OAK,46,4.3478260869565215,6.717391304347826,0.2391304347826087
MCI-ORD,MCI,ORD,431,18.132250580046403,16.635730858468676,0.24361948955916474
MCI-PGD,MCI,PGD,16,35.0,39.1875,0.25
MCI-PHL,MCI,PHL,60,18.933333333333334,15.883333333333333,0.2833333333333333
MCI-PHX,MCI,PHX,432,7.092592592592593,12.680555555555555,0.20601851851851852
MCI-PIE,MCI,PIE,5,14.6,16.8,0.4
MCI-RSW,MCI,RSW,55,12.8,14.254545454545454,0.2727272727272727
MCI-SAN,MCI,SAN,90,6.011111111111111,12.744444444444444,0.3
MCI-SAT,MCI,SAT,53,0.4528301886792453,4.679245283018868,0.1509433962264151
MCI-SEA,MCI,SEA,127,-0.7244094488188977,7.94488188976378,0.1968503937007874
MCI-SFO,MCI,SFO,58,4.206896551724138,8.448275862068966,0.25862068965517243
MCI-SLC,MCI,SLC,139,0.02877697841726619,10.122302158273381,0.14388489208633093
MCI-STL,MCI,STL,149,2.9261744966442955,6.4630872483221475,0.174496644295302
MCI-TPA,MCI,TPA,75,8.093333333333334,10.866666666666667,0.22666666666666666
MCO-ABQ,MCO,ABQ,8,11.5,9.0,0.375
MCO-ACY,MCO,ACY,171,13.614035087719298,17.970760233918128,0.2631578947368421
MCO-ALB,MCO,ALB,176,5.738636363636363,9.948863636363637,0.19318181818181818
MCO-ATL,MCO,ATL,1527,8.8762278978389,14.573673870333987,0.2220039292730845
MCO-AUS,MCO,AUS,453,16.719646799116997,13.344370860927153,0.31567328918322296
MCO-BDL,MCO,BDL,314,7.987261146496815,12.219745222929935,0.2802547770700637
MCO-BHM,MCO,BHM,128,8.375,12.984375,0.203125
MCO-BNA,MCO,BNA,478,7.401673640167364,12.50418410041841,0.2384937238493724
MCO-BOS,MCO,BOS,846,7.06855791962175,16.04373522458629,0.22458628841607564
MCO-BQN,MCO,BQN,135,7.57037037037037,17.037037037037038,0.2
MCO-BUF,MCO,BUF,276,3.489130434782609,9.768115942028986,0.18115942028985507
MCO-BWI,MCO,BWI,945,8.66031746031746,14.325925925925926,0.2306878306878307
MCO-CID,MCO,CID,6,10.166666666666666,14.5,0.3333333333333333
MCO-CLE,MCO,CLE,403,10.952853598014888,11.724565756823822,0.23573200992555832
MCO-CLT,MCO,CLT,973,12.049331963001027,14.827338129496402,0.24357656731757452
MCO-CMH,MCO,CMH,366,9.155737704918034,11.775956284153006,0.2677595628415301
MCO-CVG,MCO,CVG,322,5.400621118012422,8.046583850931677,0.20496894409937888
MCO-DAL,MCO,DAL,456,12.166666666666666,10.743421052631579,0.2916666666666667
MCO-DCA,MCO,DCA,877,7.23945267958951,12.038768529076396,0.2063854047890536
MCO-DEN,MCO,DEN,772,10.30181347150259,12.94559585492228,0.27202072538860106
MCO-DFW,MCO,DFW,832,19.167067307692307,19.41826923076923,0.31971153846153844
MCO-DSM,MCO,DSM,40,-8.925,-0.85,0.1
MCO-DTW,MCO,DTW,714,11.696078431372548,16.257703081232492,0.25630252100840334
MCO-ELP,MCO,ELP,8,21.0,17.125,0.5
MCO-EWR,MCO,EWR,1150,1.2539130434782608,13.497391304347826,0.16521739130434782
MCO-FAR,MCO,FAR,14,2.2857142857142856,-6.142857142857143,0.2857142857142857
MCO-FLL,MCO,FLL,234,5.418803418803419,10.598290598290598,0.19230769230769232
MCO-GRB,MCO,GRB,22,-9.636363636363637,-6.363636363636363,0.0
MCO-GRR,MCO,GRR,118,6.771186440677966,10.711864406779661,0.211864406779661
MCO-HOU,MCO,HOU,344,14.031976744186046,14.476744186046512,0.31976744186046513
MCO-HPN,MCO,HPN,238,17.30672268907563,19.537815126050422,0.2605042016806723
MCO-IAD,MCO,IAD,262,11.267175572519085,14.293893129770993,0.18702290076335878
MCO-IAH,MCO,IAH,615,10.289430894308943,14.746341463414634,0.2048780487804878
MCO-IND,MCO,IND,391,7.135549872122762,12.063938618925832,0.24296675191815856
MCO-ISP,MCO,ISP,260,2.0692307692307694,5.5576923076923075,0.21923076923076923
MCO-JAN,MCO,JAN,8,28.0,27.125,0.5
MCO-JFK,MCO,JFK,696,11.380747126436782,16.530172413793103,0.22413793103448276
MCO-LAS,MCO,LAS,199,14.628140703517587,19.00502512562814,0.4120603015075377
MCO-LAX,MCO,LAX,492,2.0995934959349594,6.646341463414634,0.18495934959349594
MCO-LBE,MCO,LBE,59,10.677966101694915,12.23728813559322,0.2542372881355932
